"","logFC","logCPM","LR","PValue","FDR"
"FBgn0038429:CG14882",-9.41143927113891,14.4593413125528,4413.55698276733,0,0
"FBgn0046222:Wdr33",-9.41143927113891,14.4603817641457,4413.55698276456,0,0
"FBgn0265101:Sgt1",-9.41143927113891,14.4631551830157,4413.55698276895,0,0
"FBgn0015019:CCT3",-9.41143927113891,14.4601436138328,4413.55698277017,0,0
"FBgn0037218:aux",-9.41143927113891,14.459511169318,4413.55698277221,0,0
"FBgn0037613:Cks85A",-9.41143927113891,14.4608925849944,4413.55698276499,0,0
"FBgn0267431:Myo81F",-9.41143927113891,14.4684584166064,4413.55698277569,0,0
"FBgn0263398:Uck",-9.41143927113891,14.4642309775005,4413.55698278354,0,0
"FBgn0037606:CG8032",-9.41143927113891,14.4600106483312,4413.5569827641,0,0
"FBgn0021750:SerRS-m",-9.41143927113891,14.4599559746352,4413.55698276447,0,0
"FBgn0039115:CG10214",-9.41143927113891,14.4631810557942,4413.55698276622,0,0
"FBgn0037737:Pnn",-9.41143927113891,14.4610275514826,4413.55698276579,0,0
"FBgn0011725:twin",-9.41143927113891,14.4608699135624,4413.55698277331,0,0
"FBgn0038055:trus",-9.41143927113891,14.4626584845969,4413.55698276651,0,0
"FBgn0038546:CG7379",-9.41143927113891,14.4610120544351,4413.55698276979,0,0
"FBgn0011745:Arp1",-9.41143927113891,14.4699601525363,4413.55698281945,0,0
"FBgn0260794:ctrip",-9.41143927113891,14.460637614541,4413.55698277283,0,0
"FBgn0262562:CG43102",-9.41143927113891,14.4620130432003,4413.55698276499,0,0
