"Gene","PValue","logFC"
"FBti0019351:I{}Sirt6-iso-1a",1,-16.6096404744368
"FBgn0037563:CG11672",1,-16.6096404744368
"FBgn0053100:eIF4EHP",0.939544828441655,-4.2946339830417
"FBti0062370:1360{}4309",1,-16.6096404744368
"FBgn0038089:d-cup",1,-16.6096404744368
"FBti0019298:rover{}1212",1,-16.6096404744368
"FBgn0022800:Cad96Ca",1,-16.6096404744368
"FBgn0051086:CG31086",1,-16.6096404744368
"FBgn0026164:tRNA:Lys-TTT-2-3",1,-16.6096404744368
"FBti0019300:HMS-Beagle{}1214",1,-16.6096404744368
"FBgn0042105:CG18748",1,-16.6096404744368
"FBgn0038575:CG7208",1,-11.2144187970452
"FBti0215293:Doc4{}6515",1,-16.6096404744368
"FBgn0045442:mthl12",1,-16.6096404744368
"RR48318_transposable_element:F{}RR48318",1,-16.6096404744368
"FBgn0051404:CG31404",1,-16.6096404744368
"FBgn0027657:glob1",0.946109004634148,-6.4405049612431
"FBgn0262823:hemo",1,-16.6096404744368
"FBgn0039240:CG3744",1,-8.43675077520343
"FBgn0037792:TAF1B",1,-9.65249311449712
"FBgn0037560:CR18228",1,-16.6096404744368
"FBgn0011944:tRNA:Pro-TGG-1-1",1,-16.6096404744368
"FBgn0261840:pre-mod(mdg4)-X",1,-16.6096404744368
"FBgn0039505:CG5934",0.784021408302017,-6.54732378184446
"FBgn0039790:CG2246",1,-6.54732378184446
"FBgn0010173:RPA1",1,-9.65249311449712
"FBti0062552:INE-1{}4491",1,-11.2144187970452
"FBti0215208:1360{}6429",1,-16.6096404744368
"FBgn0263002:CR43310",1,-16.6096404744368
"FBgn0039527:CG5639",1,-16.6096404744368
"RR48323_transposable_element:RR48323",1,-16.6096404744368
"FBgn0015570:alpha-Est2",1,-16.6096404744368
"FBgn0051015:PH4alphaPV",1,-16.6096404744368
"FBgn0286035:sisRNA:CR46357",1,-16.6096404744368
"FBti0019456:H{}1453",1,-16.6096404744368
"FBgn0037617:nom",1,-16.6096404744368
"FBgn0039748:CG15529",1,-16.6096404744368
"FBgn0028422:GluRIID",1,-16.6096404744368
"FBti0020309:Stalker4{}1224",1,-16.6096404744368
"FBgn0038731:Acsx1R",1,-16.6096404744368
"FBgn0038043:CG17202",1,-6.60385333836683
"FBti0061873:INE-1{}3812",1,-16.6096404744368
"FBgn0004777:Ccp84Ag",1,-16.6096404744368
"FBgn0037293:RabGGTa",1,-9.65249311449712
"RR48394_transposable_element:mdg1{}RR48394",1,-16.6096404744368
"FBgn0039009:CG13842",1,-16.6096404744368
"FBti0063885:jockey2{}5824",1,-16.6096404744368
"FBgn0267653:lncRNA:CR45991",1,-16.6096404744368
"FBti0063766:INE-1{}5705",1,-16.6096404744368
"FBgn0039766:CG15536",1,-9.65249311449712
